,TotalCharges,tenure,MonthlyCharges,MultipleLines_No phone service,SeniorCitizen,Contract_One year,PaymentMethod_Credit card (automatic),InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Mailed check,Contract_Two year,Churn,OnlineSecurity_Yes,TechSupport_Yes
85,918.75,9,99.3,0,0,0,1,0,0,0,0,0,0,0
86,2215.45,35,62.15,0,0,1,0,0,1,0,0,0,1,0
87,1057.0,48,20.65,0,0,0,0,1,1,0,1,0,0,0
88,927.1,46,19.95,0,0,0,0,1,0,1,1,0,0,0
89,1009.25,29,33.75,1,0,0,0,0,0,1,0,0,0,0
90,2570.2,30,82.05,0,0,0,0,0,1,0,0,0,0,0
91,74.7,1,74.7,0,1,0,0,0,0,0,0,0,0,1
92,5714.25,66,84.0,0,0,0,0,0,0,1,1,0,1,1
93,7107.0,65,111.05,0,0,0,1,0,0,0,0,0,1,0
94,7459.05,72,100.9,0,0,0,0,0,1,0,1,0,0,0
95,927.35,12,78.95,0,0,0,0,0,0,0,0,1,1,0
96,4748.7,71,66.85,0,0,1,1,0,0,0,0,0,1,1
97,113.85,5,21.05,0,0,0,0,1,0,1,0,1,0,0
98,1107.2,52,21.0,0,0,0,0,1,1,0,1,0,0,0
99,2514.5,25,98.5,0,1,0,0,0,0,0,0,1,0,0
100,20.2,1,20.2,0,0,0,0,1,0,1,0,0,0,0
101,19.45,1,19.45,0,0,0,0,1,0,0,0,0,0,0
102,3605.6,38,95.0,0,0,1,0,0,1,0,0,0,0,1
103,3027.25,66,45.55,1,1,1,0,0,1,0,0,0,0,0
104,7611.85,68,110.0,0,0,0,0,0,1,0,1,1,0,1
105,100.2,5,24.3,1,0,0,0,0,0,1,0,0,0,0
106,7303.05,72,104.15,0,0,1,0,0,0,0,0,0,1,0
107,927.65,32,30.15,1,0,1,0,0,0,1,0,0,1,0
108,3921.3,43,94.35,0,0,1,0,0,0,1,0,0,0,0
109,1363.25,72,19.4,0,0,0,1,1,0,0,1,0,0,0
110,5238.9,55,96.75,0,0,0,0,0,0,0,0,1,1,0
111,3042.25,52,57.95,0,0,1,1,0,0,0,0,0,1,1
112,3954.1,43,91.65,0,0,0,0,0,0,0,0,0,0,0
113,2868.15,37,76.5,0,1,0,0,0,0,0,0,1,0,0
114,3423.5,64,54.6,1,0,0,0,0,0,0,1,0,0,1
115,248.4,3,89.85,0,0,0,0,0,0,0,0,0,1,0
116,1126.35,36,31.05,1,0,0,0,0,1,0,1,0,1,0
117,1064.65,10,100.25,0,0,0,0,0,0,0,0,1,1,0
118,835.15,41,20.65,0,0,0,0,1,0,1,1,0,0,0
119,2151.6,27,85.2,0,0,0,1,0,0,0,0,0,0,1
120,5515.45,56,99.8,0,0,1,1,0,0,0,0,0,0,0
121,112.75,6,20.7,0,0,0,0,1,0,1,0,0,0,0
122,229.55,3,74.4,0,0,0,0,0,0,0,0,1,0,0
123,350.35,7,50.7,0,0,0,0,0,0,1,0,0,1,0
124,62.9,4,20.85,0,0,0,0,1,0,1,0,0,0,0
125,3027.65,33,88.95,0,0,0,0,0,0,0,1,0,1,1
126,2135.5,27,78.05,0,1,0,0,0,0,0,0,1,0,0
127,1723.95,72,23.55,0,0,0,0,1,1,0,1,0,0,0
128,19.75,1,19.75,0,0,0,0,1,0,1,0,0,0,0
129,3985.35,71,56.45,1,1,1,0,0,0,0,0,0,1,0
130,1215.65,13,85.95,0,0,0,0,0,0,0,0,0,0,0
131,1502.65,25,58.6,1,0,0,1,0,0,0,0,1,1,0
132,3260.1,67,50.55,0,0,0,0,0,1,0,1,0,0,1
133,35.45,1,35.45,1,0,0,0,0,0,0,0,1,0,0
134,81.25,2,44.35,0,0,0,0,0,0,0,0,1,0,0
135,1188.2,43,25.7,0,0,0,1,1,0,0,1,0,0,0
136,1778.5,23,75.0,0,0,0,0,0,1,0,0,0,1,0
137,1277.75,64,20.2,0,0,0,0,1,0,1,1,0,0,0
138,1170.55,57,19.6,0,0,0,0,1,0,1,1,0,0,0
139,70.45,1,70.45,0,1,0,0,0,0,1,0,1,0,0
140,6425.65,72,88.05,0,1,0,1,0,0,0,1,0,1,1
141,563.65,8,71.15,0,0,0,0,0,0,0,0,1,1,1
142,5971.25,61,101.05,0,0,0,0,0,1,0,1,0,0,0
143,5289.05,64,84.3,0,0,1,1,0,0,0,0,0,1,0
144,1756.2,71,23.95,0,1,0,0,1,1,0,1,0,0,0
145,6416.7,65,99.05,0,0,0,1,0,0,0,1,0,1,1
146,61.35,3,19.6,0,0,1,0,1,0,1,0,0,0,0
147,45.65,1,45.65,0,0,0,0,0,0,0,0,1,0,0
148,1929.95,30,64.5,0,0,1,1,0,0,0,0,0,0,0
149,1071.4,15,69.5,0,0,0,0,0,0,1,0,0,0,1
150,564.35,8,68.55,0,0,0,0,0,0,0,0,0,0,1
151,655.5,7,95.0,0,0,0,0,0,0,1,0,1,0,0
152,7930.55,70,108.15,0,0,1,1,0,0,0,0,0,1,0
153,5215.25,62,86.1,0,0,0,0,0,0,0,1,0,1,1
154,113.5,6,19.7,0,0,0,0,1,0,1,0,0,0,0
155,1152.8,14,80.9,0,0,0,0,0,1,0,0,0,0,0
156,1821.95,22,84.15,0,0,0,0,0,1,0,0,0,0,0
157,419.9,22,20.15,0,0,1,0,1,0,1,0,0,0,0
158,1024.0,16,64.25,0,0,0,0,0,0,1,1,0,1,0
159,251.6,10,25.7,0,0,0,0,1,1,0,1,0,0,0
160,764.55,13,56.0,0,0,0,0,0,0,0,0,0,1,0
161,1592.35,20,82.4,0,0,0,0,0,0,0,0,1,1,0
162,135.2,2,69.7,0,0,0,0,0,0,0,0,0,0,0
163,3958.25,53,73.9,0,0,0,0,0,1,0,1,0,0,1
164,233.9,11,20.6,0,0,1,0,1,0,1,0,0,0,0
165,1363.45,69,19.9,0,0,0,0,1,0,1,1,0,0,0
166,273.0,4,70.9,0,0,0,0,0,1,0,0,1,0,0
167,6254.45,72,89.05,0,0,0,0,0,1,0,1,0,1,1
168,2651.2,58,45.3,1,1,0,0,0,0,0,0,1,0,0
169,321.4,16,20.4,0,0,0,0,1,0,0,0,0,0,0
170,3539.25,43,84.25,0,0,1,0,0,1,0,0,0,1,1
171,242.8,2,104.4,0,0,0,0,0,0,0,0,1,0,1
172,1181.75,14,81.95,0,0,0,0,0,0,1,1,0,0,1
173,5000.2,53,94.85,0,0,1,0,0,1,0,0,1,0,0
174,654.55,32,20.55,0,0,1,0,1,1,0,0,0,0,0
175,780.2,34,24.7,0,0,0,0,1,0,0,0,0,0,0
176,1145.7,15,74.45,0,1,0,0,0,0,1,0,1,0,0
177,503.6,7,76.45,0,1,0,0,0,1,0,0,1,1,0
178,1559.25,15,105.35,0,0,0,0,0,1,0,0,0,0,0
179,1252.0,61,20.55,0,0,1,1,1,0,0,0,0,0,0
180,29.95,1,29.95,1,0,0,0,0,1,0,0,1,0,0
181,45.3,1,45.3,0,0,0,0,0,0,1,0,0,0,0
182,662.65,8,84.5,0,0,0,0,0,1,0,0,1,0,0
183,2453.3,33,74.75,0,0,1,1,0,0,0,0,0,1,0
184,1111.65,13,79.25,0,0,0,0,0,0,0,0,1,0,0
185,24.8,1,24.8,1,0,0,0,0,0,0,0,1,0,0
186,1023.85,20,51.8,0,0,0,0,0,0,1,0,0,0,0
187,82.15,3,30.4,1,0,0,0,0,0,0,0,0,0,1
188,244.8,13,19.65,0,0,1,0,1,0,0,0,0,0,0
189,2379.1,40,56.6,0,0,0,1,0,0,0,0,0,0,0
190,3173.35,43,71.9,0,0,1,1,0,0,0,0,0,1,1
191,531.0,6,91.0,0,0,0,0,0,0,0,0,1,0,0
192,1375.4,69,19.75,0,0,0,0,1,1,0,1,0,0,0
193,8129.3,72,109.7,0,0,0,1,0,0,0,1,0,1,0
194,1192.7,59,19.3,0,0,0,1,1,0,0,1,0,0,0
195,1901.65,20,96.55,0,0,0,0,0,0,0,0,0,1,1
196,587.4,24,24.1,0,0,0,0,1,1,0,1,0,0,0
197,6519.75,59,111.35,0,0,0,0,0,0,0,0,0,0,1
198,8041.65,72,112.25,0,0,0,0,0,1,0,1,0,0,1
199,20.75,1,20.75,0,0,0,0,1,0,1,0,0,0,0
200,2681.15,27,101.9,0,0,1,1,0,0,0,0,0,1,1
201,1112.3,14,80.05,0,0,0,1,0,0,0,0,0,0,1
202,7405.5,71,105.55,0,0,0,0,0,0,0,1,0,1,0
203,1033.95,13,78.3,0,0,0,1,0,0,0,0,0,0,0
204,2958.95,44,68.85,0,0,0,1,0,0,0,0,0,0,0
205,2684.85,33,79.95,0,0,1,0,0,1,0,0,0,0,1
206,4179.2,72,55.45,1,0,0,1,0,0,0,1,0,1,1
207,79.9,1,79.9,0,0,0,0,0,0,0,0,1,0,0
208,1934.45,19,106.6,0,0,0,0,0,0,0,0,1,1,1
209,6654.1,64,102.45,0,0,1,1,0,0,0,0,0,0,1
210,84.5,2,46.0,0,0,0,1,0,0,0,0,1,0,0
211,25.25,1,25.25,1,0,0,0,0,0,0,0,0,0,0
212,1124.2,61,19.75,0,0,0,0,1,0,1,1,0,0,0
213,540.05,29,20.0,0,0,1,0,1,0,0,0,0,0,0
214,1975.85,23,86.8,0,1,0,0,0,0,0,0,0,0,0
215,3437.45,57,58.75,1,0,0,0,0,1,0,0,0,1,0
216,3139.8,72,45.25,1,0,0,1,0,0,0,1,0,1,1
217,3789.2,66,56.6,1,0,0,0,0,1,0,1,0,1,1
218,5324.5,65,84.2,0,0,0,0,0,1,0,1,0,0,1
219,624.6,8,80.0,0,0,0,0,0,1,0,0,0,0,0
220,268.35,4,70.15,0,0,0,0,0,0,0,0,1,0,0
221,1836.9,71,24.75,0,0,0,0,1,1,0,1,0,0,0
222,20.2,1,20.2,0,0,1,0,1,0,0,0,0,0,0
223,179.35,4,50.05,0,0,0,0,0,0,1,0,1,0,1
224,219.35,12,19.35,0,0,1,0,1,1,0,0,0,0,0
225,1288.75,24,50.6,1,0,1,0,0,0,1,0,0,1,0
226,2545.75,31,81.15,0,0,1,0,0,0,1,0,0,1,1
227,55.2,1,55.2,0,0,0,0,0,0,1,0,1,0,0
228,2723.15,30,89.9,0,0,0,1,0,0,0,0,0,0,1
229,4107.25,47,85.3,0,0,0,1,0,0,0,1,0,1,1
230,5760.65,54,108.0,0,0,0,1,0,0,0,1,0,1,1
231,4747.5,50,93.5,0,0,0,1,0,0,0,0,0,1,1
232,84.6,1,84.6,0,0,0,0,0,0,1,0,1,1,0
233,1566.9,72,20.25,0,0,0,1,1,0,0,1,0,0,0
234,702.0,29,25.15,0,0,0,0,1,0,0,0,0,0,0
235,114.1,2,54.4,0,0,0,0,0,0,1,0,1,0,0
236,299.05,10,29.6,1,0,0,0,0,0,1,1,0,0,1
237,1305.95,18,73.15,0,0,0,0,0,0,0,0,0,0,0
238,1120.3,11,95.0,0,1,0,0,0,0,0,0,1,0,0
239,284.35,16,19.75,0,0,0,0,1,0,1,1,0,0,0
240,6350.5,72,86.6,0,0,0,0,0,1,0,1,0,0,1
241,7878.3,72,109.2,0,0,0,0,0,1,0,1,0,0,1
242,3187.65,41,74.7,0,0,1,1,0,0,0,0,0,1,1
243,6126.15,65,94.4,0,1,0,0,0,0,0,0,0,1,0
244,731.3,13,54.8,0,1,0,0,0,0,0,0,0,0,0
245,273.4,4,75.35,0,1,0,0,0,0,0,0,0,1,0
246,2531.8,41,65.0,0,0,1,0,0,0,1,0,0,0,0
247,1074.3,15,74.4,0,1,0,0,0,0,0,0,1,0,0
248,48.55,1,48.55,0,0,0,0,0,0,1,0,1,1,0
249,4298.45,42,99.0,0,0,1,0,0,0,0,0,0,1,0
250,4619.55,51,93.5,0,0,1,0,0,0,0,0,0,1,0
251,147.15,2,70.4,0,0,0,0,0,0,0,0,1,0,0
252,40.2,1,40.2,1,1,0,0,0,0,0,0,1,0,0
253,2633.3,32,83.7,0,0,1,1,0,0,0,0,0,0,1
254,193.05,10,19.85,0,0,0,0,1,0,1,0,0,0,0
255,4103.9,67,59.55,1,0,0,0,0,0,0,1,0,0,1
256,7008.15,61,115.1,0,0,0,1,0,0,0,1,0,1,1
257,5791.1,50,114.35,0,0,1,1,0,0,0,0,0,1,1
258,80.55,2,44.6,0,0,0,1,0,0,0,0,1,0,0
259,1228.65,29,45.0,1,1,0,0,0,0,0,0,0,1,0
260,132.2,3,41.15,1,1,0,0,0,0,0,0,1,0,0
261,1364.3,13,106.9,0,1,0,0,0,0,0,0,1,0,0
262,4925.35,57,89.85,0,1,0,0,0,0,0,0,0,0,0
263,1520.1,31,49.85,1,0,0,0,0,1,0,1,0,1,1
264,5032.25,45,113.3,0,0,1,0,0,0,1,0,0,1,1
265,5526.75,61,88.1,0,0,0,0,0,0,1,1,0,1,1
266,1195.25,50,24.9,0,0,0,0,1,1,0,1,0,0,0
267,2007.25,19,105.0,0,1,0,0,0,0,1,0,0,1,1
268,1099.6,59,19.35,0,0,0,0,1,0,1,1,1,0,0
269,1732.95,71,24.25,0,0,0,1,1,0,0,1,0,0,0
270,1511.2,16,94.45,0,1,0,0,0,0,0,0,1,0,1
271,3450.15,57,59.75,0,0,0,0,0,0,0,1,0,1,1
272,24.8,1,24.8,1,0,0,0,0,1,0,0,1,0,0
273,2172.05,20,107.05,0,1,0,0,0,0,0,0,0,0,1
274,70.6,1,70.6,0,0,0,0,0,0,1,0,1,0,0
275,401.1,5,85.4,0,0,0,0,0,0,0,0,1,0,1
276,5624.85,52,105.05,0,0,0,0,0,0,0,0,1,0,0
277,1339.8,21,64.95,0,1,0,0,0,1,0,0,0,1,0
278,771.95,14,55.0,1,0,0,0,0,0,0,0,0,0,1
279,244.75,5,50.55,0,0,0,0,0,1,0,0,0,0,0
280,322.9,6,55.15,0,0,0,0,0,0,1,0,0,1,0
281,498.25,10,51.2,0,0,0,0,0,0,0,0,0,0,0
282,25.4,1,25.4,0,0,0,0,1,0,1,0,0,0,0
283,3687.75,68,54.45,0,0,0,0,0,0,1,0,0,1,0
284,1779.95,18,95.15,0,0,0,0,0,0,1,0,1,0,0
285,1783.6,22,76.0,0,0,1,1,0,0,0,0,0,0,0
286,927.15,20,44.35,0,0,0,0,0,0,0,0,0,0,0
287,70.0,1,70.0,0,0,0,0,0,0,0,0,1,0,0
288,606.55,8,74.5,0,1,0,0,0,0,0,0,1,0,0
289,435.4,10,44.85,0,0,0,1,0,0,0,0,1,0,0
290,1712.7,24,76.1,0,1,0,0,0,0,0,0,1,0,0
291,2021.2,35,61.2,0,0,1,0,0,0,1,0,0,1,0
292,1940.8,23,86.8,0,0,1,0,0,0,1,0,0,0,1
293,567.8,6,89.35,0,1,0,0,0,0,0,0,0,0,0
294,220.35,12,19.7,0,0,0,0,1,0,1,0,0,0,0
295,20.25,1,20.25,0,0,0,0,1,0,1,0,0,0,0
296,5436.45,71,76.05,0,0,0,0,0,0,0,1,0,0,0
297,3437.5,35,100.8,0,1,0,0,0,0,0,0,0,0,0
298,3015.75,40,74.55,0,0,0,0,0,0,0,0,0,0,0
299,73.6,1,73.6,0,0,0,0,0,0,1,0,1,1,0
300,1509.8,23,64.9,0,0,1,0,0,1,0,0,0,0,0
301,396.1,4,95.45,0,1,0,0,0,0,0,0,1,0,0
302,356.65,4,90.4,0,0,0,0,0,0,0,0,0,0,1
303,4109.0,68,60.3,1,0,0,1,0,0,0,1,0,0,1
304,3141.7,38,81.85,0,0,0,0,0,0,1,0,0,0,0
305,1229.1,52,24.8,0,0,0,0,1,0,1,1,0,0,0
306,2303.35,32,74.9,0,1,0,0,0,0,0,0,1,0,0
307,2054.4,29,75.55,0,0,0,0,0,0,1,1,0,0,1
308,3741.85,38,101.15,0,1,0,0,0,0,0,0,0,0,0
309,3682.45,48,78.75,0,0,1,1,0,0,0,0,0,1,0
310,19.25,1,19.25,0,0,0,0,1,1,0,0,0,0,0
311,1886.25,22,89.05,0,0,0,0,0,0,0,0,0,1,1
312,4895.1,43,115.05,0,0,0,1,0,0,0,1,0,1,1
313,341.6,5,69.35,0,1,0,0,0,0,0,0,0,0,0
314,415.55,5,80.6,0,0,0,0,0,0,0,0,1,0,0
315,5686.4,51,110.05,0,0,1,1,0,0,0,0,0,1,1
316,1355.1,71,19.9,0,0,0,1,1,0,0,1,0,0,0
317,3058.65,38,80.3,0,0,1,1,0,0,0,0,1,1,1
318,2231.05,24,93.15,0,1,0,0,0,0,0,0,1,0,0
319,3236.35,35,91.5,0,0,0,1,0,0,0,0,0,0,1
320,4350.1,54,82.45,0,1,1,0,0,1,0,0,1,1,1
321,4264.0,72,60.0,1,0,0,0,0,0,0,1,0,0,1
322,44.8,1,44.8,0,0,0,0,0,0,0,0,0,0,0
323,422.3,9,48.6,0,0,1,0,0,0,1,0,0,1,0
324,4176.7,69,60.05,1,0,0,0,0,1,0,1,0,1,1
325,5138.1,52,102.7,0,0,0,1,0,0,0,0,0,0,1
326,880.05,11,82.9,0,1,0,0,0,0,0,0,0,0,1
327,139.05,2,70.35,0,1,0,0,0,0,0,0,1,0,0
328,973.65,28,35.9,1,1,0,0,0,0,0,0,0,0,0
329,1470.05,17,82.65,0,1,0,1,0,0,0,0,0,0,0
330,739.35,35,19.85,0,0,0,0,1,0,1,1,0,0,0
331,161.95,8,19.2,0,0,1,0,1,0,1,0,0,0,0
332,4422.95,46,94.9,0,0,1,1,0,0,0,0,0,0,0
333,511.25,7,73.85,0,0,0,0,0,0,0,0,1,0,0
334,155.8,2,80.6,0,0,0,0,0,0,1,0,1,0,0
335,5293.95,68,75.8,0,0,1,0,0,1,0,0,1,0,1
336,4759.85,43,104.6,0,0,0,0,0,0,0,1,1,0,0
337,6148.45,68,88.15,0,0,0,0,0,0,0,1,0,1,1
338,3565.65,36,94.8,0,0,0,1,0,0,0,0,0,0,0
339,6603.0,63,103.4,0,0,0,0,0,0,0,0,1,0,0
340,1830.1,32,54.65,0,1,0,0,0,1,0,0,0,0,1
341,6223.8,71,85.75,0,0,0,1,0,0,0,1,0,1,1
342,4508.65,66,67.45,0,0,0,0,0,1,0,0,0,1,0
343,1328.15,63,20.5,0,0,1,0,1,0,1,0,0,0,0
344,865.0,41,20.25,0,0,1,1,1,0,0,0,0,0,0
345,72.1,1,72.1,0,1,0,0,0,0,0,0,0,0,0
346,168.2,2,90.4,0,0,0,0,0,0,0,0,1,0,0
347,1303.5,70,19.45,0,0,0,0,1,1,0,1,0,0,0
348,996.85,23,44.95,1,0,0,0,0,0,0,0,0,0,0
349,6430.9,64,97.0,0,1,1,0,0,1,0,0,0,1,0
350,2278.75,37,62.8,0,0,0,1,0,0,0,1,0,1,1
351,681.4,17,44.6,0,0,1,0,0,0,1,0,0,0,0
352,574.35,7,89.15,0,1,0,0,0,0,0,0,0,0,0
353,371.9,4,84.8,0,0,0,0,0,1,0,0,1,0,0
354,840.1,21,41.9,1,1,0,0,0,0,0,0,1,1,0
355,846.0,10,80.25,0,0,0,0,0,1,0,0,1,0,0
356,889.0,16,54.1,0,1,0,0,0,0,0,0,0,1,0
357,6823.4,64,105.25,0,0,0,0,0,0,0,1,0,0,1
358,805.1,27,30.75,1,1,0,1,0,0,0,0,1,1,0
359,4016.75,42,97.1,0,0,1,0,0,0,0,0,0,1,0
360,83.75,5,20.2,0,0,0,0,1,0,1,0,0,0,0
361,3959.15,41,98.8,0,0,0,0,0,1,0,1,0,0,1
362,2878.55,58,50.3,0,0,1,1,0,0,0,0,0,0,0
363,945.7,47,20.55,0,0,0,0,1,0,1,1,0,0,0
364,1373.05,18,75.9,0,0,0,0,0,1,0,0,0,0,1
365,492.55,5,96.5,0,0,0,0,0,1,0,0,1,0,0
366,1406.0,23,59.95,0,0,0,0,0,1,0,0,0,1,0
367,19.15,1,19.15,0,0,0,0,1,0,1,0,0,0,0
368,6962.85,71,98.65,0,0,1,1,0,0,0,0,0,0,0
369,8126.65,72,112.6,0,0,0,1,0,0,0,1,0,1,1
370,690.25,33,20.6,0,0,1,0,1,0,1,0,0,0,0
371,181.5,2,85.65,0,0,0,0,0,0,0,0,1,0,0
372,830.8,24,35.75,1,0,0,0,0,0,1,1,0,1,1
373,5608.4,56,99.75,0,0,1,1,0,0,0,0,0,0,1
374,3646.8,37,96.1,0,0,0,1,0,0,0,0,0,0,0
375,3662.25,43,85.1,0,0,1,1,0,0,0,0,0,0,1
376,25.35,1,25.35,1,0,0,0,0,0,1,0,0,0,0
377,2566.5,25,104.95,0,0,0,0,0,1,0,0,1,0,1
378,5308.7,61,89.65,0,0,0,0,0,0,0,1,0,1,1
379,1410.25,17,86.75,0,0,1,0,0,0,0,0,0,0,1
380,3339.05,41,86.2,0,0,1,0,0,1,0,0,0,0,1
381,50.65,1,50.65,0,0,0,0,0,0,1,0,1,0,0
382,4732.35,72,64.8,1,1,0,0,0,1,0,1,0,1,1
383,90.85,1,90.85,0,0,0,1,0,0,0,0,1,0,0
384,5067.45,48,108.1,0,0,0,0,0,1,0,1,0,0,0
385,214.75,11,19.95,0,1,0,0,1,0,1,0,1,0,0
386,4874.7,55,85.45,0,1,0,0,0,0,0,0,1,0,0
387,2348.45,42,54.75,1,0,1,0,0,0,0,0,0,1,1
388,4063.0,44,90.4,0,0,0,0,0,0,1,0,0,0,0
389,44.0,1,44.0,0,0,0,0,0,0,0,0,0,0,0
390,2595.25,27,95.6,0,0,0,0,0,1,0,0,0,0,0
391,2309.55,27,84.8,0,1,0,0,0,1,0,0,0,0,1
392,89.3,2,44.3,0,1,0,0,0,0,0,0,0,0,0
393,367.55,19,19.9,0,0,0,0,1,0,1,0,0,0,0
394,3944.5,42,95.05,0,1,0,0,0,0,0,0,0,0,0
395,5965.95,66,90.05,0,0,0,1,0,0,0,1,0,1,1
